City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ayagoz,47.9714,80.4392,61.86,27,100,19.1,KZ,1631415071
Bonawon,9.134,122.9193,83.93,73,100,2.84,PH,1631415072
Khatanga,71.9667,102.5,48.47,52,7,2.37,RU,1631415073
Joshīmath,30.5667,79.5667,67.59,88,100,1.12,IN,1631415074
Nkayi,-4.1841,13.2884,75.25,79,100,3.67,CG,1631415075
Camas,37.402,-6.0331,71.96,86,0,1.01,ES,1631415076
Moindou,-21.6924,165.677,76.95,52,0,11.63,NC,1631415077
Dali,25.7,100.1833,72.0,66,45,1.59,CN,1631415078
Melfort,52.8667,-104.6177,55.53,50,100,3.44,CA,1631415079
Aswān,24.0934,32.907,76.3,41,0,11.5,EG,1631415080
Yatou,37.15,122.3833,78.42,79,28,10.42,CN,1631415082
Alta,69.9689,23.2717,36.64,93,100,2.3,NO,1631415083
Makakilo,21.3524,-158.0865,85.35,54,40,11.5,US,1631415084
Saskylakh,71.9167,114.0833,51.15,54,72,11.77,RU,1631415085
Northam,51.0333,-4.2167,57.29,95,91,4.23,GB,1631415086
Constitución,-35.3333,-72.4167,51.6,90,99,10.67,CL,1631415087
Chara,56.9064,118.2631,59.14,57,100,2.66,RU,1631415088
Troitskoye,52.9821,84.6757,53.15,94,100,11.7,RU,1631415088
Tomatlán,19.9333,-105.25,78.57,92,37,2.89,MX,1631415089
Chegutu,-18.1302,30.1407,50.83,70,49,6.44,ZW,1631415090
Buraidah,26.326,43.975,75.65,23,8,3.96,SA,1631415091
Bayburt,40.2589,40.2278,50.95,86,11,2.26,TR,1631415093
Verkhnevilyuysk,63.4453,120.3167,62.65,45,88,5.46,RU,1631415094
Flin,48.4982,6.6557,59.07,92,8,1.48,FR,1631415095
Codrington,-38.2667,141.9667,51.76,76,73,12.12,AU,1631415096
Sayyan,15.1718,44.3244,63.57,40,9,1.28,YE,1631415097
Comodoro,-13.6631,-59.7858,75.58,59,22,2.46,BR,1631415098
Khalkhāl,37.6189,48.5258,58.24,70,8,4.05,IR,1631415098
Kloulklubed,7.0419,134.2556,83.48,70,100,10.25,PW,1631415099
Port-Cartier,50.0334,-66.8654,53.74,75,2,3.06,CA,1631415100
Boa,4.4296,8.9742,74.84,93,90,3.13,CM,1631415101
Laguna,38.421,-121.4238,89.58,27,1,4.61,US,1631415102
Sandpoint,48.2766,-116.5533,63.36,87,1,3.44,US,1631415103
Mandalgovi,45.7625,106.2708,53.46,45,0,17.45,MN,1631415104
Faanui,-16.4833,-151.75,77.23,74,61,17.25,PF,1631415104
Oyama,36.3,139.8,79.03,63,100,1.81,JP,1631415105
Coyhaique,-45.5752,-72.0662,42.75,93,90,0.0,CL,1631415106
Ginda,30.6945,78.4932,63.93,85,100,0.78,IN,1631415107
Tiksi,71.6872,128.8694,52.38,50,94,15.55,RU,1631415107
Boyolangu,-8.1181,111.8935,77.63,83,100,8.48,ID,1631415108
Chui,-33.6971,-53.4616,52.36,97,14,6.55,UY,1631415109
Iralaya,15.0,-83.2333,80.74,86,56,13.47,HN,1631415110
Micheweni,-4.9667,39.8333,74.3,84,8,11.03,TZ,1631415110
Tasiilaq,65.6145,-37.6368,32.74,72,100,26.82,GL,1631415111
Alipur,29.3846,70.9116,85.05,65,0,12.3,PK,1631415112
Byron,44.0327,-92.6455,71.62,78,1,4.61,US,1631415114
Touros,-5.1989,-35.4608,74.3,76,46,13.65,BR,1631415115
Kuala,3.377,98.6189,76.3,92,100,0.29,ID,1631415116
Bambous,-20.2567,57.4061,71.13,77,6,19.24,MU,1631415117
Peleduy,59.6289,112.7406,50.59,97,100,6.71,RU,1631415118
Itarema,-2.9248,-39.9167,77.45,79,11,16.26,BR,1631415119
Luebo,-5.35,21.4167,74.08,66,100,1.41,CD,1631415120
Hofn,64.2539,-15.2082,50.5,83,71,16.17,IS,1631415120
Rāzampeta,14.1833,79.1667,85.1,59,88,17.13,IN,1631415121
Jutaí,-5.1833,-68.9,72.28,97,43,0.83,BR,1631415122
Aitape,-3.1374,142.3475,86.43,65,99,8.99,PG,1631415123
Morondava,-20.2833,44.2833,70.21,58,0,11.92,MG,1631415124
Bubaque,11.2833,-15.8333,80.04,81,94,8.9,GW,1631415125
Lunenburg,44.3835,-64.3155,54.52,92,99,8.37,CA,1631415084
Kieta,-6.2167,155.6333,86.36,63,63,8.03,PG,1631415126
Tiznit Province,29.5833,-9.5,77.34,34,16,2.59,MA,1631415127
East,65.0,-15.0,40.75,97,100,12.93,IS,1631415128
Miyako,39.6367,141.9525,79.23,56,0,4.79,JP,1631415129
Eureka,40.8021,-124.1637,61.41,96,7,5.32,US,1631415131
Lodwar,3.1191,35.5973,78.01,50,45,15.5,KE,1631415132
Schüttorf,52.3167,7.2333,62.85,88,100,8.75,DE,1631415133
Kupang,-10.1667,123.5833,88.38,51,20,9.22,ID,1631415133
Pavlovskaya,46.1328,39.7856,63.66,51,100,7.78,RU,1631415134
Dhamtari,20.7072,81.5497,78.06,87,90,5.35,IN,1631415135
Merauke,-8.4667,140.3333,82.13,77,100,13.96,ID,1631415136
Dawei,14.0833,98.2,81.21,80,84,5.23,MM,1631415136
Santa,17.486,120.4348,82.71,80,100,12.19,PH,1631415137
Rio,38.3,21.7833,73.78,65,100,8.7,GR,1631415138
Mpanda,-6.3655,31.0409,70.52,42,89,7.14,TZ,1631415139
Bonavista,48.6499,-53.1147,60.12,72,0,25.14,CA,1631415140
Komatipoort,-25.4332,31.9548,58.15,81,0,3.96,ZA,1631415140
Ponnāni,10.767,75.9252,78.12,87,98,7.56,IN,1631415141
Oyotún,-6.8519,-79.3036,71.28,77,38,3.47,PE,1631415143
Adolfo,-21.235,-49.6436,70.95,55,55,7.09,BR,1631415144
Hwange,-18.3693,26.5019,60.6,40,0,5.01,ZW,1631415145
Goderich,43.7501,-81.7165,72.91,73,73,13.8,CA,1631414897
Sisimiut,66.9395,-53.6735,30.47,53,17,12.91,GL,1631415147
Cockburn,-32.0833,141.0,63.52,29,25,19.82,AU,1631415149
Turtas,58.9417,69.1325,37.29,97,100,14.45,RU,1631415150
Būlaevo,54.9056,70.4439,41.94,70,44,18.72,KZ,1631415150
Xichang,27.8964,102.2634,70.57,83,94,1.5,CN,1631415152
Bonfim,3.0833,-59.95,78.31,70,6,3.24,BR,1631415152
Redlands,34.0556,-117.1825,90.12,37,0,2.28,US,1631415153
Nishihara,26.1842,127.7558,88.88,77,75,24.16,JP,1631415154
Sittwe,20.15,92.9,80.76,87,100,16.8,MM,1631415154
San Fernando del Valle de Catamarca,-28.4696,-65.7852,71.78,42,0,1.99,AR,1631415155
Gallup,35.5281,-108.7426,75.96,23,1,1.01,US,1631415156
Cayenne,4.9333,-52.3333,81.09,79,0,3.0,GF,1631415157
Shingū,33.7333,135.9833,77.99,91,100,2.33,JP,1631415158
Ancud,-41.8697,-73.8203,44.13,82,100,19.64,CL,1631415158
Sambava,-14.2667,50.1667,70.59,75,75,13.71,MG,1631415159
Ozernovskiy,51.5,156.5167,51.06,71,100,9.95,RU,1631415160
Warsaw,52.2298,21.0118,63.91,90,13,2.3,PL,1631415138
Oriximiná,-1.7656,-55.8661,79.29,63,43,2.62,BR,1631415161
Kyabé,9.4515,18.9449,71.46,97,100,2.46,TD,1631415162
Nehe,48.4833,124.8333,60.89,67,4,4.07,CN,1631415163
Bajo,-3.3788,120.3102,83.97,76,87,3.02,ID,1631415164
Cairns,-16.9167,145.7667,84.07,76,90,12.66,AU,1631415164
Belmonte,-15.8631,-38.8828,75.7,82,6,7.78,BR,1631415165
Nadvoitsy,63.8667,34.3167,41.5,83,28,5.3,RU,1631415167
Nemuro,43.3236,145.575,66.63,87,100,16.11,JP,1631415167
Grimshaw,56.1834,-117.6027,62.22,42,75,13.8,CA,1631415169
Grand,38.8755,-109.5012,79.83,34,85,7.87,US,1631415170
Jingdezhen,29.2947,117.2079,90.25,53,0,7.43,CN,1631415170
Pishin,30.5803,66.9961,74.41,28,0,1.39,PK,1631415171
Isangel,-19.55,169.2667,78.91,65,75,9.22,VU,1631415172
Øksfjord,70.2396,22.3479,40.12,76,100,4.12,NO,1631415173
Souris,49.6172,-100.2612,55.26,50,100,9.1,CA,1631415174
Aklavik,68.2191,-135.0107,52.63,76,100,2.73,CA,1631415175
Miandrivazo,-19.5167,45.4667,69.78,52,0,3.38,MG,1631415175
Severomuysk,56.1481,113.4267,37.24,96,100,4.05,RU,1631415176
Omboué,-1.5746,9.2618,74.28,90,100,3.76,GA,1631415177
Pechenga,69.5259,31.1703,32.86,78,99,4.63,RU,1631415178
Robertsport,6.7533,-11.3686,76.03,90,100,14.92,LR,1631415179
Kailua,21.4022,-157.7394,87.78,68,20,17.85,US,1631415179
Binzhou,37.3667,118.0167,85.32,66,0,5.26,CN,1631415180
Waingapu,-9.6567,120.2641,86.13,60,13,9.75,ID,1631415181
Taltal,-25.4,-70.4833,56.25,81,71,1.28,CL,1631415182
Oistins,13.0667,-59.5333,82.49,78,20,10.36,BB,1631414949
Alihe,50.5667,123.7167,62.55,57,65,2.98,CN,1631415183
Oktyabr'skiy,54.4815,53.471,44.64,72,96,5.66,RU,1631415186
Helsinki,60.1695,24.9355,57.04,98,75,5.75,FI,1631415186
Russell,32.3502,-85.1999,76.23,89,1,0.0,US,1631415187
Talnakh,69.4865,88.3972,44.13,94,100,8.9,RU,1631415189
Nago,26.5881,127.9761,89.67,86,99,19.6,JP,1631415189
Kudahuvadhoo,2.6708,72.8944,82.78,70,97,7.63,MV,1631415191
Emba,48.8264,58.1442,49.14,47,0,6.26,KZ,1631415192
Raychikhinsk,49.7838,129.4121,61.14,71,55,7.7,RU,1631415193
Bayan,46.0833,127.4,61.72,65,3,7.83,CN,1631415193
Atambua,-9.1061,124.8925,86.68,47,63,2.28,ID,1631414957
Dingle,10.9995,122.6711,85.6,73,92,4.38,PH,1631415195
Daru,-9.0763,143.2092,81.05,82,92,15.41,PG,1631415195
Warrnambool,-38.3833,142.4833,53.82,71,60,12.41,AU,1631415197
Francistown,-21.17,27.5079,51.21,61,0,7.78,BW,1631415197
Anan,33.9167,134.65,77.18,89,100,4.85,JP,1631415198
Lamas,-6.4167,-76.5333,66.67,96,20,2.39,PE,1631415199
Camaná,-16.6228,-72.7111,61.48,79,39,8.19,PE,1631415200
Brigantine,39.4101,-74.3646,71.02,76,1,6.91,US,1631415201
Rancho,-23.025,-52.9621,69.51,60,2,9.08,BR,1631415202
Samarai,-10.6167,150.6667,80.24,78,68,13.4,PG,1631415202
Sinnamary,5.3833,-52.95,77.65,85,25,9.95,GF,1631415194
Estelle,29.8458,-90.1067,81.0,73,1,5.75,US,1631415204
Mafinga,-7.25,35.0667,63.32,52,8,3.49,TZ,1631415204
Kaseda-shirakame,31.4167,130.3167,78.03,93,100,21.41,JP,1631415206
Galveston,29.3669,-94.9669,82.96,76,2,1.01,US,1631415207
Mitsamiouli,-11.3847,43.2844,75.45,72,1,6.51,KM,1631415207
Inhambane,-23.865,35.3833,68.45,67,79,4.94,MZ,1631415209
Portland,45.5234,-122.6762,77.04,55,20,1.99,US,1631414610
Matara,5.9485,80.5353,81.59,77,71,13.35,LK,1631415211
Salto,-31.3833,-57.9667,56.12,90,17,9.98,UY,1631414993
Nyurba,63.2842,118.3319,63.7,47,74,5.3,RU,1631415214
